Country Name,Life Expectancy,Population,Continent
Tunisia,76.505,11694719,Asia
Turkey,77.437,83429615,Asia
Tanzania,65.015,58005463,Africa
Uganda,62.973,44269594,Africa
Ukraine,71.58268293,44385155,Europe
Uruguay,77.77,3461734,South America
United States of America,78.53902439,328239523,North America
Uzbekistan,71.573,33580650,Asia
St. Vincent and the Grenadines,72.415,110589,North America
Virgin Islands (U.S.),79.56829268,106631,North America
Vietnam,75.317,96462106,Asia
Vanuatu,70.323,299882,Oceania
Samoa,73.187,197097,Oceania
Kosovo,72.19512195,1794248,Europe
Yemen,66.096,29161922,Asia
South Africa,63.857,58558270,Africa
Zambia,63.51,17861030,Africa
Zimbabwe,61.195,14645468,Africa
