Country Name,Health Expenditure,Country Code,Life Expectancy_x,Population_x,Continent
Nigeria,221.0950012,NGA,54.332,200963599,Africa
Nicaragua,506.1549683,NIC,74.275,6545502,South America
Netherlands,5513.100098,NLD,81.81219512,17332850,Europe
Norway,6518.873047,NOR,82.75853659,5347896,Europe
Nepal,150.0734253,NPL,70.478,28608710,Asia
New Zealand,3767.513428,NZL,81.85853659,4917000,Oceania
Oman,1590.843262,OMN,77.633,4974986,Asia
Pakistan,160.5584564,PAK,67.114,216565318,Asia
Panama,1794.809692,PAN,78.329,4246439,South America
Peru,681.2345581,PER,76.516,32510453,South America
Philippines,371.7423401,PHL,71.095,108116615,Asia
Papua New Guinea,103.8995895,PNG,64.263,8776109,Oceania
Poland,1958.167603,POL,77.60243902,37970874,Europe
Portugal,2917.355713,PRT,81.32439024,10269417,Europe
Paraguay,866.6269531,PRY,74.131,7044636,South America
Qatar,3354.37793,QAT,80.1,2832067,Asia
Romania,1367.79187,ROU,75.35853659,19356544,Europe
Rwanda,134.3714905,RWA,68.7,12626950,Africa
Saudi Arabia,2826.334473,SAU,74.998,34268528,Asia
Sudan,313.6807251,SDN,65.095,42813238,Africa
Senegal,143.0919342,SEN,67.665,16296364,Africa
Singapore,4269.958008,SGP,83.14634146,5703569,Asia
Solomon Islands,115.2381592,SLB,72.835,669823,Oceania
Sierra Leone,205.3612976,SLE,54.309,7813215,Africa
El Salvador,582.7357788,SLV,73.096,6453553,South America
Serbia,1382.162598,SRB,75.8902439,6944975,Europe
S. Sudan,175.7673035,SSD,57.604,11062113,Africa
Sao Tome and Principe,209.2372894,STP,70.17,215056,Africa
Suriname,946.3764038,SUR,71.57,581372,South America
Slovak Republic,2184.202881,SVK,77.26585366,5454073,Europe
Slovenia,2960.593262,SVN,81.37804878,2087946,Europe
Sweden,5699.606934,SWE,82.55853659,10285453,Europe
Eswatini,600.1167603,SWZ,59.401,1148130,Africa
Seychelles,1485.473755,SYC,72.84146341,97625,Africa
Chad,87.29854584,TCD,53.977,15946876,Africa
Togo,103.7303238,TGO,60.76,8082366,Africa
Thailand,670.8770752,THA,76.931,69625582,Asia
Tajikistan,231.423584,TJK,70.879,9321018,Asia
Turkmenistan,1249.62561,TKM,68.073,5942089,Asia
Timor-Leste,263.8439026,TLS,69.26,1293119,Asia
Tonga,335.3079224,TON,70.801,104494,Oceania
Trinidad and Tobago,2205.806641,TTO,73.38,1394973,South America
Tunisia,863.2907715,TUN,76.505,11694719,Asia
Turkey,1180.641846,TUR,77.437,83429615,Asia
Tanzania,104.3139801,TZA,65.015,58005463,Africa
Uganda,121.1517868,UGA,62.973,44269594,Africa
Ukraine,584.5913696,UKR,71.58268293,44385155,Europe
Uruguay,2101.911377,URY,77.77,3461734,South America
Uzbekistan,447.8721924,UZB,71.573,33580650,Asia
St. Vincent and the Grenadines,528.0722656,VCT,72.415,110589,North America
Vietnam,375.6432495,VNM,75.317,96462106,Asia
Vanuatu,110.4313965,VUT,70.323,299882,Oceania
Samoa,363.9580688,WSM,73.187,197097,Oceania
South Africa,1097.819214,ZAF,63.857,58558270,Africa
Zambia,180.2706604,ZMB,63.51,17861030,Africa
Zimbabwe,201.0454559,ZWE,61.195,14645468,Africa
